Planet,Expedition,ExpeditionStart,ExpeditionTeam,TeamGruendung,TeamLeiter,TeamSpezialgebiet,Spezies,SpeziesEigenschaft,SpeziesNahrungsquelle,SpeziesTechnologiestufe,Allianz,AllianzGruendung,AllianzRessource,AllianzStrategie
Mars,Phoenix Discovery,2120,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Europa,Aurora Mission,2121,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Ganymede,Nebula Quest,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Prometheus Search,2123,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Proxima b,Celestial Voyage,2124,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Callisto,Pioneer Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Europa,Horizon Exploration,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Proxima b,Zenith Probe,2125,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Nebula Trek,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Ganymede,Aurora Recon,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Proxima b,Voyager Mission,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Quantum Quest,2128,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Callisto,Borealis Expedition,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Lichtbringer-Allianz,2123,Biolumineszente Organismen,Lichtbasierte Tarntechnologien
Ganymede,Hyperion Journey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Mars,Andromeda Survey,2130,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
Ganymede,Nimbus Search,2125,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Proxima b,Polaris Exploration,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Strahlenschutz-Allianz,2130,Energiequellen aus kosmischer Strahlung,Energiebarrieren
Europa,Horizon Trek,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glyzerianer,Flüssiger Kreislauf,Kohlenstoffverbindungen,Fortgeschritten,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Mars,Phoenix Voyage,2127,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Ferroplasmiden,Magnetische Kontrolle,Eisenstaub,Fortgeschritten,Magnetik-Konsortium,2118,Magnetische Kristalle,Verborgene unterirdische Verstecke
