Name,Region,Hoehenlage,Saisonzeit,Land,Piste,Pistenlaenge,Pistenfarbe,Pistenkapazitaet,Unterkunft,UnterkunftTyp,UnterkunftBetten,Schule,SchulSchwerpunkt,SchulZielgruppe
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Snowy Peak Retreat,Ferienhaus,20,Alpine Action,Ski,Anfänger
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Fir Tree Cabins,Ferienhaus,15,Snowboarders Paradise,Snowboard,Profis
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Alpenrose Hotel,Hotel,200,Powder School,Ski,Fortgeschrittene
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Edelweiss Lodge,Hotel,150,Freestyle Factory,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Le Glacier Hotel,Hotel,130,Snowy Peaks Academy,Ski,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Alpenglow Lodge,Hotel,180,Mountain Shredders,Snowboard,Profis
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Edelweiss Lodge,Hotel,150,Ski Masters,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Summit View Hotel,Hotel,80,Snowboard University,Snowboard,Anfänger
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Alpenglow Lodge,Hotel,180,Peak Performance Ski School,Ski,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Snowline Inn,Gasthaus,25,Alpine Explorers,Ski,Anfänger
Cortina d'Ampezzo,Dolomiten,2930,Winter,Italien,Pomedes,2.5,blau,62,Alpine Dreams Hotel,Hotel,140,Skiers’ Dream,Ski,Fortgeschrittene
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Snowy Peak Retreat,Ferienhaus,20,Winter Riders Academy,Snowboard,Fortgeschrittene
Val d'Isère,Savoie,3456,Winter,Frankreich,Verte,4.0,blau,74,Le Glacier Hotel,Hotel,130,Avalanche Ski School,Ski,Profis
Niseko United,Hokkaido,1200,Winter,Japan,Annupuri Summit,3.3,rot,91,Snowfall Hotel,Hotel,125,Snowboard Basics,Snowboard,Anfänger
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Trailhead Lodge,Gasthaus,20,Freeride School,Ski,Profis
Whakapapa,Ruapehu,2322,ganzjährig,Neuseeland,Rock Garden,2.4,rot,53,Summit View Hotel,Hotel,80,Chill & Shred,Snowboard,Anfänger
Zermatt (Matterhorn),Wallis,3899,Winter,Schweiz,Schwarzsee,4.3,schwarz,77,Edelweiss Lodge,Hotel,150,The Ski Lab,Ski,Fortgeschrittene
Aspen Snowmass,Colorado,3813,Winter,USA,Powerline Glades,2.7,schwarz,68,Alpenglow Lodge,Hotel,180,ShredMasters,Snowboard,Profis
Timberline Lodge,Oregon,2631,ganzjährig,USA,Cascade,1.5,schwarz,41,Fir Tree Cabins,Ferienhaus,15,Mountainboarders Academy,Snowboard,Fortgeschrittene
St. Anton am Arlberg,Tirol,2811,Winter,Österreich,Gampen,2.5,blau,61,Alpenrose Hotel,Hotel,200,The Snowboard Institute,Snowboard,Fortgeschrittene
Banff/Lake Louise,Alberta,2730,Winter,Kanada,Paradise Bowl,2.8,schwarz,58,Snowline Inn,Gasthaus,25,Ski Evolution,Ski,Anfänger
Whistler Blackcomb,British Columbia,2436,Winter,Kanada,Green Acres,1.2,blau,28,Snowy Peak Retreat,Ferienhaus,20,Ice Riders,Ski,Fortgeschrittene
Park City,Utah,3049,Winter,USA,Homerun,3.5,blau,60,Trailhead Lodge,Gasthaus,20,Big Air Snowboard,Snowboard,Profis
